A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
688077,-,大地熊,大地熊新材料,"Earth-Panda Advanced Magnetic Material Co.,Ltd.",20200722
688078,-,龙软科技,龙软科技,Beijing Longruan Technologies Inc.,20191230
688079,-,美迪凯,美迪凯股份,"Hangzhou Mdk Opto Electronics Co.,Ltd",20210302
688080,-,映翰通,映翰通网络,"Beijing Inhand Networks Technology Co., Ltd.",20200212
688081,-,兴图新科,兴图新科,"Wuhan Xingtu Xinke Electronics Co.,Ltd.",20200106
688082,-,盛美上海,盛美上海半导体,"ACM RESEARCH(SHANGHAI),INC.",20211118
688083,-,中望软件,中望软件,"Zwsoft Co.,Ltd.(Guangzhou)",20210311
688084,-,晶品特装,晶品特装,"BEIJING JINGPINTEZHUANG SCIENCE AND TECHNOLOGY CO.,LTD",20221208
688085,-,三友医疗,三友医疗,"Shanghai Sanyou Medical Co., Ltd.",20200409
688087,-,英科再生,英科再生,"Shandong Intco Recycling Resources Co., Ltd.",20210709
688088,-,虹软科技,虹软科技,ArcSoft Corporation Limited,20190722
688089,-,嘉必优,嘉必优生物,"Cabio Biotech(Wuhan) Co., Ltd.",20191219
688090,-,瑞松科技,瑞松科技,"Guangzhou Risong Intelligent Technology Holding Co., Ltd.",20200217
688091,-,上海谊众,上海谊众药业,"Shanghai Yizhong Pharmaceutical Co., Ltd.",20210909
688092,-,爱科科技,爱科科技股份,"Hangzhou Iecho Science & Technology Co., Ltd.",20210319
688093,-,世华科技,世华科技,"Suzhou Shihua New Material Technology Co., Ltd.",20200930
688095,-,福昕软件,福昕软件开发,"Fujian Foxit Software Development Joint Stock Co.,Ltd.",20200908
688096,-,京源环保,江苏京源环保,"Jiangsu Jingyuan Environmental Protection Co.,Ltd.",20200409
688097,-,博众精工,博众精工科技,"BOZHON PRECISION INDUSTRY TECHNOLOGY CO.,LTD.",20210512
688098,-,申联生物,申联生物医药,Shanghai Shen Lian Biomedical Corporation,20191028
688099,-,晶晨股份,晶晨半导体,"Amlogic (Shanghai) Co.,Ltd.",20190808
688100,-,威胜信息,威胜信息,"Willfar Information Technology Co., Ltd.",20200121
688101,-,三达膜,三达膜环境技术,"Suntar Environmental Technology Co., Ltd.",20191115
688102,-,斯瑞新材,陕西斯瑞新材股份,"SHAANXI SIRUI ADVANCED MATERIALS CO.,LTD.",20220316
688103,-,国力股份,国力股份,"Kunshan Guoli Electronic Technology Co., Ltd.",20210910
688105,-,诺唯赞,诺唯赞生物,"NANJING VAZYME BIOTECH CO., LTD.",20211115
688106,-,金宏气体,金宏气体,"JINHONG GAS CO., LTD.",20200616
688107,-,安路科技,安路科技,"SHANGHAI ANLOGIC INFOTECH CO., LTD.",20211112
688108,-,赛诺医疗,赛诺医疗科学,Sino Medical Sciences Technology Inc.,20191030
688109,-,品茗科技,品茗科技,"PINMING TECHNOLOGY CO., LTD.",20210330
688110,-,东芯股份,东芯股份,"DOSILICON CO., LTD.",20211210
688111,-,金山办公,金山办公,"Beijing Kingsoft Office Software, Inc.",20191118
688112,-,鼎阳科技,鼎阳科技,"SIGLENT TECHNOLOGIES CO., LTD.",20211201
688113,-,联测科技,联测科技,"Jiangsu Liance Electromechanical Technology Co., Ltd.",20210506
688114,-,华大智造,华大智造,"MGI TECH CO., LTD.",20220909
688115,-,思林杰,思林杰科技,"SMARTGIANT TECHNOLOGY CO., LTD.",20220314
688116,-,天奈科技,天奈科技,"Jiangsu Cnano Technology Co.,Ltd.",20190925
688117,-,圣诺生物,圣诺生物,"CHENGDU SHENG NUO BIOTEC CO.,LTD.",20210603
688118,-,普元信息,普元信息,"Primeton Information Technologies, Inc.",20191204
688119,-,中钢洛耐,中钢洛耐,"SINOSTEEL LUONAI MATERIALS TECHNOLOGY CO., LTD.",20220606
688120,-,华海清科,华海清科,"HWATSING TECHNOLOGY CO.,LTD.",20220608
688121,-,卓然股份,卓然技术,"Shanghai Supezet Engineering Technology Corp., Ltd.",20210906
688122,-,西部超导,西部超导,"Western Superconducting Technologies Co., Ltd.",20190722
688123,-,聚辰股份,聚辰半导体,Giantec Semiconductor Corporation,20191223
688125,-,安达智能,安达智能,"GUANGDONG ANDA AUTOMATION SOLUTIONS CO.,LTD.",20220415
688126,-,沪硅产业,上海硅产业集团,"National Silicon Industry Group Co.,Ltd.",20200420
688127,-,蓝特光学,蓝特光学,"Zhejiang Lante Optics Co.,Ltd.",20200921
688128,-,中国电研,中国电器研究院,"China National Electric Apparatus Research Institute Co., Ltd.",20191105
688129,-,东来技术,东来涂料技术股份,"Donglai Coating Technology( Shanghai) Co.,Ltd",20201023
688130,-,晶华微,晶华微电子,HANGZHOU SDIC MICROELECTRONICS INC.,20220729
688131,-,皓元医药,皓元医药,"Shanghai Haoyuan Chemexpress Co.,Ltd.",20210608
