A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
688325,-,赛微微电,赛微微电子,"GUANGDONG CELLWISE MICROELECTRONICS CO., LTD.",20220422
688326,-,经纬恒润,经纬恒润,"BEIJING JINGWEI HIRAIN TECHNOLOGIES CO., INC.",20220419
688327,-,云从科技,云从科技,"CLOUDWALK TECHNOLOGY CO., LTD.",20220527
688328,-,深科达,深科达智能装备,"SHENZHEN S-KING INTELLIGENT EQUIPMENT CO., LTD.",20210309
688329,-,艾隆科技,苏州艾隆科技,"SUZHOU IRON TECHNOLOGY CO.,LTD.",20210329
688330,-,宏力达,宏力达信息,"SHANGHAI HOLYSTAR ELECTRICAL TECHNOLOGY CO., LTD.",20201015
688331,-,荣昌生物,荣昌生物,"REMEGEN CO.,LTD.",20220331
688332,-,中科蓝讯,中科蓝讯,"SHENZHEN BLUETRUM TECHNOLOGY CO., LTD.",20220715
688333,-,铂力特,西安铂力特,"XI'AN BRIGHT LASER TECHNOLOGIES CO., LTD",20190722
688334,-,西高院,西高院,"XI’AN HIGH VOLTAGE APPARATUS RESEARCH INSTITUTE CO., LTD.",20230619
688335,-,复洁环保,复洁环保科技,"SHANGHAI CEO ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD",20200817
688336,-,三生国健,三生国健,"Sunshine Guojian Pharmaceutical(Shanghai)Co., Ltd.",20200722
688337,-,普源精电,普源精电,"RIGOL TECHNOLOGIES CO., LTD.",20220408
688338,-,赛科希德,赛科希德,Beijing Succeeder Technology Inc.,20200806
688339,-,亿华通,亿华通科技,"Beijing SinoHytec Co., Ltd.",20200810
688343,-,云天励飞,云天励飞股份,"SHENZHEN INTELLIFUSION TECHNOLOGIES CO., LTD.",20230404
688345,-,博力威,博力威,"Guangdong Greenway Technology Co., Ltd.",20210611
688347,-,华虹公司,华虹半导体公司,HUA HONG SEMICONDUCTOR LIMITED,20230807
688348,-,昱能科技,昱能科技,"YUNENG TECHNOLOGY CO., LTD.",20220608
688349,-,三一重能,三一重能,"SANY RENEWABLE ENERGY CO.,LTD.",20220622
688350,-,富淼科技,富淼科技,"Jiangsu Feymer Technology Co., Ltd.",20210128
688351,-,微电生理,微创电生理股份,"SHANGHAI MICROPORT EP MEDTECH CO., LTD.",20220831
688352,-,颀中科技,颀中科技,"HEFEI CHIPMORE TECHNOLOGY CO., LTD.",20230420
688353,-,华盛锂电,华盛锂电,"JIANGSU HSC NEW ENERGY MATERIALS CO.,LTD.",20220713
688355,-,明志科技,明志科技,"Suzhou Mingzhi Technology Co., Ltd.",20210512
688356,-,键凯科技,键凯科技,"Jenkem Technology Co., Ltd.",20200826
688357,-,建龙微纳,建龙微纳,"Luoyang Jalon Micro-nano New Materials Co.,Ltd.",20191204
688358,-,祥生医疗,祥生医疗科技,"Chison Medical Technologies Co.,Ltd.",20191203
688359,-,三孚新科,三孚新材料科技,"GUANGZHOU SANFU NEW MATERIALS TECHNOLOGY CO., LTD.",20210521
688360,-,德马科技,德马科技,"DAMON TECHNOLOGY GROUP CO.,LTD.",20200602
688361,-,中科飞测,中科飞测,"SKYVERSE TECHNOLOGY CO., LTD.",20230519
688362,-,甬矽电子,甬矽电子,"FOREHOPE ELECTRONIC (NINGBO) CO., LTD.",20221116
688363,-,华熙生物,华熙生物,Bloomage Biotechnology Corporation Limited,20191106
688365,-,光云科技,光云科技,"Hangzhou Raycloud Technology Co.,Ltd",20200429
688366,-,昊海生科,昊海生物科技,"Shanghai Haohai Biological Technology Co.,Ltd",20191030
688367,-,工大高科,工大高科,"Hefei Gocom Information  Technology Co.,Ltd.",20210628
688368,-,晶丰明源,晶丰明源半导体,"Shanghai Bright Power Semiconductor Co., Ltd.",20191014
688369,-,致远互联,致远互联,Beijing Seeyon Internet Software Corp.,20191031
688370,-,丛麟科技,丛麟环保科技,"SHANGHAI CONGLIN ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD.",20220825
688371,-,菲沃泰,菲沃泰纳米科技,"JIANGSU FAVORED NANOTECHNOLOGY CO., LTD.",20220802
688372,-,伟测科技,伟测科技,"Shanghai V-Test Semiconductor Tech. Co., Ltd.",20221026
688373,-,盟科药业,盟科药业,"SHANGHAI MICURX PHARMACEUTICAL CO., LTD.",20220805
688375,-,国博电子,国博电子,"GUOBO ELECTRONICS CO., LTD.",20220722
688376,-,美埃科技,美埃科技,"MAYAIR TECHNOLOGY (CHINA) CO., LTD.",20221118
688377,-,迪威尔,迪威尔高端制造,"Nanjing Develop Advanced Manufacturing Co., Ltd.",20200708
688378,-,奥来德,奥来德光电,"Jilin OLED Material Tech Co.,Ltd.",20200903
688379,-,华光新材,华光新材,"Hangzhou Huaguang Advanced Welding Materials Co.,Ltd.",20200819
688380,-,中微半导,中微半导,"SHENZHEN CHINA MICRO SEMICON CO., LTD.",20220805
688381,-,帝奥微,帝奥微电子,"DIOO MICROCIRCUITS CO., LTD. JIANGSU",20220823
688382,-,益方生物,益方生物科技,"INVENTISBIO CO., LIMITED.",20220725
688383,-,新益昌,新益昌科技,"Shenzhen Xinyichang Technology Co., Ltd.",20210428
688385,-,复旦微电,复旦微电,"Shanghai Fudan Microelectronics Group Co.,Ltd.",20210804
688386,-,泛亚微透,泛亚微透,Pan Asian Microvent Tech (Jiangsu) Corporation,20201016
688387,-,信科移动,中信科移动,"CICT MOBILE COMMUNICATION TECHNOLOGY CO., LTD.",20220926
688388,-,嘉元科技,嘉元科技,"GUANGDONG JIAYUAN TECHNOLOGY CO.,LTD.",20190722
688389,-,普门科技,深圳普门科技,"SHENZHEN LIFOTRONIC TECHNOLOGY CO.,LTD",20191105
688390,-,固德威,固德威电源,"GOODWE TECHNOLOGIES CO., LTD.",20200904
688391,-,钜泉科技,钜泉科技,"HI-TREND TECHNOLOGY (SHANGHAI) CO.,LTD",20220913
688392,-,骄成超声,骄成超声波,"SBT ULTRASONIC TECHNOLOGY CO.,LTD.",20220927
688393,-,安必平,安必平医药,"Guangzhou LBP Medicine Science & Technology Co., Ltd.",20200820
688395,-,正弦电气,深圳正弦电气股份,"Shenzhen Sine Electric Co.,Ltd.",20210429
688396,-,华润微,华润微电子,China Resources Microelectronics Limited,20200227
688398,-,赛特新材,赛特新材,"FUJIAN SUPERTCH ADVANCED MATERIAL CO.,LTD.",20200211
688399,-,硕世生物,硕世生物,"Jiangsu Bioperfectus Technologies Co., Ltd.",20191205
688400,-,凌云光,凌云光技术,"LUSTER LIGHTTECH CO., LTD.",20220706
688401,-,路维光电,路维光电,"SHENZHEN NEWWAY PHOTOMASK MAKING CO., LTD.",20220817
688403,-,汇成股份,汇成股份,"UNION SEMICONDUCTOR (HEFEI) CO., LTD.",20220818
688408,-,中信博,中信博新能源,"Arctech Solar Holding Co., Ltd.",20200828
688409,-,富创精密,富创精密,"SHENYANG FORTUNE PRECISION EQUIPMENT CO., LTD.",20221010
688410,-,山外山,山外山血液净化,"SWS HEMODIALYSIS CARE CO .,LTD.",20221226
688416,-,恒烁股份,恒烁股份,"ZBIT SEMICONDUCTOR, INC.",20220829
688418,-,震有科技,震有科技,"Genew Technologies Co.,Ltd.",20200722
688419,-,耐科装备,耐科装备,"NEXTOOL TECHNOLOGY CO., LTD.",20221107
688420,-,美腾科技,天津美腾科技,"TIANJIN MEITENG TECHNOLOGY CO., LTD",20221209
688425,-,铁建重工,铁建重工,China Railway Construction Heavy Industry Corporation Limited,20210622
688426,-,康为世纪,康为世纪生物科技,"JIANGSU COWIN BIOTECH CO., LTD.",20221025
688428,-,诺诚健华,诺诚健华,INNOCARE PHARMA LIMITED,20220921
688429,-,时创能源,时创能源,"CHANGZHOU SHICHUANG ENERGY CO.,LTD.",20230629
688432,-,有研硅,有研硅,"GRINM SEMICONDUCTOR MATERIALS CO., LTD.",20221110
688433,-,华曙高科,华曙高科,"FARSOON TECHNOLOGIES CO., LTD.",20230417
688435,-,英方软件,英方软件,SHANGHAI INFORMATION2 SOFTWARE INC.,20230119
688439,-,振华风光,振华风光,"GUIZHOU ZHENHUA FENGGUANG SEMICONDUCTOR CO., LTD.",20220826
688443,-,智翔金泰,智翔金泰,"CHONGQING GENRIX BIOPHARMACEUTICAL CO., LTD.",20230620
688448,-,磁谷科技,南京磁谷科技,"NANJING CIGU TECHNOLOGY CORP.,LTD.",20220921
688450,-,光格科技,光格科技,"SUZHOU AGIOE TECHNOLOGIES CO., LTD.",20230724
688455,-,科捷智能,科捷智能,"KENGIC INTELLIGENT TECHNOLOGY CO., LTD.",20220915
688456,-,有研粉材,有研粉材,"GRIPM Advanced Materials Co., Ltd.",20210317
688458,-,美芯晟,美芯晟科技,"MAXIC TECHNOLOGY, INC.",20230522
688459,-,哈铁科技,哈铁科技,CHINA RAILWAY HARBIN GROUP OF TECHNOLOGY CORPORATION,20221012
688466,-,金科环境,金科环境,"GreenTech Environmental Co., Ltd.",20200508
688468,-,科美诊断,科美诊断,"CHEMCLIN DIAGNOSTICS CO., LTD.",20210409
688469,-,中芯集成,中芯集成,SEMICONDUCTOR MANUFACTURING ELECTRONICS (SHAOXING) CORPORATION,20230510
688472,-,阿特斯,阿特斯阳光电力,"CSI SOLAR CO., LTD.",20230609
688475,-,萤石网络,萤石网络,"HANGZHOU EZVIZ NETWORK CO.,LTD.",20221228
688478,-,晶升股份,晶升股份,CRYSTAL GROWTH & ENERGY EQUIPMENT INC.,20230424
688479,-,友车科技,用友汽车信息科技,"YONYOU AUTO INFORMATION TECHNOLOGY (SHANGHAI) CO., LTD.",20230511
688480,-,赛恩斯,赛恩斯环保,"SCIENCE ENVIRONMENTAL PROTECTION CO.,LTD.",20221125
688484,-,南芯科技,南芯科技,"SOUTHCHIP SEMICONDUCTOR TECHNOLOGY(SHANGHAI) CO., LTD.",20230407
688485,-,九州一轨,九州一轨环科,"BEIJING JIUZHOUYIGUI ENVIRONMENTAL TECHNOLOGY CO., LTD.",20230118
688486,-,龙迅股份,龙迅股份,LONTIUM SEMICONDUCTOR CORPORATION,20230221
688488,-,艾迪药业,艾迪药业,"Jiangsu Aidea Pharmaceutical Co.,Ltd.",20200720
688489,-,三未信安,三未信安,"SANSEC TECHNOLOGY CO., LTD.",20221202
688496,-,清越科技,清越科技,"SUZHOU QINGYUE OPTOELECTRONICS TECHNOLOGY CO., LTD.",20221228
688498,-,源杰科技,源杰科技,"YUANJIE SEMICONDUCTOR TECHNOLOGY CO., LTD.",20221221
688499,-,利元亨,广东利元亨,"Guangdong Lyric Robot Automation Co., Ltd.",20210701
688500,-,*ST慧辰,*ST慧辰资讯股份公司,"HCR Co.,Ltd.",20200716
688501,-,青达环保,青岛达能环保,"Qingdao Daneng Environmental Protection Equipment Co., Ltd.",20210716
688502,-,茂莱光学,茂莱光学,MLOPTIC CORP.,20230309
688503,-,聚和材料,聚和材料股份公司,"CHANGZHOU FUSION NEW MATERIAL CO., LTD.",20221209
688505,-,复旦张江,复旦张江股份,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",20200619
688506,-,百利天恒,百利天恒药业,"SICHUAN BIOKIN PHARMACEUTICAL CO., LTD.",20230106
688507,-,索辰科技,索辰科技,"SHANGHAI SUOCHEN INFORMATION TECHNOLOGY CO.,LTD.",20230418
688508,-,芯朋微,芯朋微电子,Wuxi Chipown Micro-Electronics Limited,20200722
688509,-,正元地信,正元地信,"Zhengyuan Geomatics Group Co.,Ltd.",20210730
688510,-,航亚科技,航亚科技,"WUXI HYATECH CO.,LTD.",20201216
688511,-,天微电子,天微电子,"Sichuan Tianwei Electronic Co.,LTD.",20210730
688512,-,慧智微,慧智微电子,"SMARTER MICROELECTRONICS(GUANGZHOU)CO., LTD.",20230516
688513,-,苑东生物,苑东生物,"Chengdu Easton Bio Pharmaceuticals Co.,Ltd",20200902
688515,-,裕太微,裕太微电子,"MOTORCOMM ELECTRONIC TECHNOLOGY CO.,LTD",20230210
688516,-,奥特维,奥特维科技,"Wuxi Autowell Technology Co.,Ltd.",20200521
688517,-,金冠电气,金冠电气,"Jinguan Electric Co., Ltd.",20210618
688518,-,联赢激光,联赢激光股份,"Shenzhen United Winners Laser Co.,Ltd.",20200622
688519,-,南亚新材,南亚新材料,"Nanya New Material Technology Co.,Ltd.",20200818
688520,-,神州细胞,神州细胞集团公司,Sinocelltech Group Limited,20200622
688521,-,芯原股份,芯原微电子,"Verisilicon Microelectronics (Shanghai) Co., Ltd.",20200818
688522,-,纳睿雷达,纳睿雷达科技,"NARUIDA TECHNOLOGY CO., LTD.",20230301
688523,-,航天环宇,航天环宇科技,"HUNAN AEROSPACE HUANYU COMMUNICATION TECHNOLOGY CO.,LTD.",20230602
688525,-,佰维存储,佰维存储,"BIWIN STORAGE TECHNOLOGY CO., LTD.",20221230
688526,-,科前生物,武汉科前生物,"Wuhan Keqian Biology Co.,Ltd",20200922
688528,-,秦川物联,秦川物联网,"Chengdu Qinchuan Iot Technology Co., Ltd.",20200701
688529,-,豪森股份,大连豪森股份,"Dalian Haosen Equipment Manufacturing Co., Ltd.",20201109
688531,-,日联科技,日联科技股份,"WUXI UNICOMP TECHNOLOGY CO., LTD.",20230331
688533,-,上声电子,上声电子股份,"Suzhou Sonavox Electronics Co.,Ltd.",20210419
688535,-,华海诚科,华海诚科新材料,"JIANGSU HHCK ADVANCED MATERIALS CO., LTD.",20230404
688536,-,思瑞浦,思瑞浦股份,3peak Incorporated,20200921
688538,-,和辉光电,和辉光电,"EVERDISPLAY OPTRONICS (SHANGHAI) CO., LTD.",20210528
688539,-,高华科技,高华科技,"NANJING GOVA TECHNOLOGY CO., LTD.",20230418
688543,-,国科军工,国科军工,"JIANGXI GUOKE DEFENCE GROUP CO.,LTD.",20230621
688548,-,广钢气体,广钢气体股份,"GUANGZHOU GUANGGANG GASES & ENERGY CO.,LTD.",20230815
688550,-,瑞联新材,瑞联新材料,"Xi'an Manareco New Materials Co., Ltd.",20200902
688551,-,科威尔,科威尔股份,"KEWELL TECHNOLOGY CO., LTD.",20200910
688552,-,航天南湖,航天南湖,"AEROSPACE NANHU ELECTRONIC INFORMATION TECHNOLOGY CO., LTD.",20230518
688553,-,汇宇制药,汇宇制药,"SICHUAN HUIYU PHARMACEUTICAL CO., LTD.",20211026
688556,-,高测股份,高测科技股份,"Qingdao Gaoce Technology Co., Ltd.",20200807
688557,-,兰剑智能,兰剑智能,"BlueSword Intelligent Technology Co.,Ltd.",20201202
688558,-,国盛智科,国盛智科股份,"Nantong Guosheng Intelligence Technology Group Co., Ltd.",20200630
688559,-,海目星,海目星激光,"HYMSON LASER TECHNOLOGY GROUP CO.,LTD.",20200909
688560,-,明冠新材,明冠新材料,"Crown Advanced Material Co., Ltd.",20201224
688561,-,奇安信,奇安信集团,Qi An Xin Technology Group Inc.,20200722
688562,-,航天软件,航天软件股份,"BEIJING SHENZHOU AEROSPACE SOFTWARE TECHNOLOGY CO., LTD.",20230524
688563,-,航材股份,航空材料股份,"BAIMTEC MATERIAL CO.,LTD.",20230719
688565,-,力源科技,力源科技,"Zhejiang Haiyan Power System Resources Environmental Technology Co.,Ltd",20210513
688566,-,吉贝尔,吉贝尔药业,"Jiangsu Jibeier Pharmaceutical Co.,Ltd.",20200518
688567,-,孚能科技,孚能科技,"Farasis Energy (Gan Zhou) Co., Ltd.",20200717
688568,-,中科星图,中科星图公司,"Geovis Technology Co.,Ltd",20200708
688569,-,铁科轨道,铁科轨道,"Beijing Tieke Shougang Railway-Tech Co.,Ltd.",20200831
688570,-,天玛智控,天玛智控,"BEIJING TIANMA INTELLIGENT CONTROL TECHNOLOGY CO., LTD.",20230605
688571,-,杭华股份,杭华油墨股份,"Hangzhou Tokaink Co.,Ltd.",20201211
688573,-,信宇人,信宇人,"SHENZHEN XINYUREN TECHNOLOGY CO.,LTD.",20230817
688575,-,亚辉龙,亚辉龙生物,"Shenzhen YHLO Biotech Co., Ltd.",20210517
688576,-,西山科技,西山科技,"CHONGQING XISHAN SCIENCE&TECHNOLOGY CO., LTD.",20230606
688577,-,浙海德曼,海德曼装备,"Zhe Jiang Headman Machinery Co., Ltd.",20200916
688578,-,艾力斯,艾力斯医药科技,"Shanghai Allist Pharmaceuticals Co., Ltd.",20201202
688579,-,山大地纬,山大地纬软件,"Dareway Software Co.,Ltd.",20200717
688580,-,伟思医疗,伟思医疗,"Nanjing Vishee Medical Technology Co., Ltd.",20200721
688581,-,安杰思,安杰思医学,"HANGZHOU AGS MEDICAL TECHNOLOGY CO., LTD.",20230519
688582,-,芯动联科,芯动联科,ANHUI XDLK MICROSYSTEM CORPORATION LIMITED,20230630
688585,-,上纬新材,上纬新材,"Swancor Advanced Materials Co., Ltd.",20200928
688586,-,江航装备,江航飞机装备,AVIC HEFEI JIANGHANG AIRCRAFT EQUIPMENT CORPORATION LTD.,20200731
688588,-,凌志软件,凌志软件,"Linkage Software Co.,Ltd.",20200511
688589,-,力合微,力合微电子,Leaguer (Shenzhen) Microelectronics Corp.,20200722
688590,-,新致软件,新致软件,"Shanghai Newtouch Software Co.,Ltd.",20201207
688591,-,泰凌微,泰凌微,"TELINK SEMICONDUCTOR(SHANGHAI)CO.,LTD.",20230825
688592,-,司南导航,司南导航,COMNAV TECHNOLOGY LTD.,20230816
688593,-,新相微,新相微,"SHANGHAI NEW VISION MICROELECTRONICS CO., LTD.",20230601
688595,-,芯海科技,芯海科技,"Chipsea Technologies (Shenzhen) Corp., Ltd.",20200928
688596,-,正帆科技,正帆科技,"SHANGHAI GENTECH CO., LTD.",20200820
688597,-,煜邦电力,煜邦电力,"Beijing Yupont Electric Power Technology Co., Ltd.",20210617
688598,-,金博股份,金博碳素股份,"KBC Corporation, Ltd.",20200518
688599,-,天合光能,天合光能,"TRINA SOLAR CO., LTD.",20200610
688600,-,皖仪科技,皖仪科技,"Anhui Wanyi Science and Technology Co.,Ltd.",20200703
688601,-,力芯微,力芯微股份,"Wuxi Etek Microelectronics Co.,Ltd.",20210628
688602,-,康鹏科技,康鹏科技,SHANGHAI CHEMSPEC CORPORATION,20230720
688603,-,天承科技,天承科技,"GUANGDONG SKYCHEM TECHNOLOGY CO., LTD.",20230710
688606,-,奥泰生物,奥泰生物,"HANGZHOU ALLTEST BIOTECH CO.,LTD.",20210325
688607,-,康众医疗,康众数字医疗科技,"CareRay Digital Medical Technology Co., Ltd.",20210201
688608,-,恒玄科技,恒玄科技,"Bestechnic (Shanghai) Co., Ltd.",20201216
688609,-,九联科技,广东九联科技,"Unionman Technology Co., Ltd.",20210323
688610,-,埃科光电,埃科光电,"HEFEI I-TEK OPTOELECTRONICS CO., LTD.",20230719
688611,-,杭州柯林,杭州柯林股份,Hangzhou Kelin Electric Co.Ltd.,20210412
688612,-,威迈斯,威迈斯,"SHENZHEN VMAX NEW ENERGY CO., LTD.",20230726
688613,-,奥精医疗,奥精医疗,"Allgens Medical Technology Co., Ltd.",20210521
688616,-,西力科技,西力科技,"Hangzhou Xili Intelligent Technology Co.,Ltd.",20210318
688617,-,惠泰医疗,惠泰医疗,Apt Medical Inc.,20210107
688618,-,三旺通信,三旺通信,"3onedata Co., Ltd.",20201230
688619,-,罗普特,罗普特科技,"Ropeok Technology Group Co.,Ltd.",20210223
688620,-,安凯微,安凯微电子,"GUANGZHOU ANYKA MICROELECTRONICS CO., LTD.",20230627
688621,-,阳光诺和,阳光诺和,"Beijing Sun-Novo Pharmaceutical Research Co.,Ltd.",20210621
688622,-,禾信仪器,禾信仪器,"Guangzhou Hexin Instrument Co., Ltd.",20210913
688623,-,双元科技,双元科技,"ZHEJIANG SHUANGYUAN TECHNOLOGY CO., LTD.",20230608
688625,-,呈和科技,呈和科技,"Gch Technology Co.,Ltd.",20210607
688626,-,翔宇医疗,翔宇医疗,"XIANGYU MEDICAL CO.,LTD",20210331
688627,-,精智达,精智达技术,"SHENZHEN SEICHI TECHNOLOGIES CO., LTD.",20230718
688628,-,优利德,优利德科技,"Uni-Trend Technology (China) Co.,Ltd.",20210201
688629,-,华丰科技,四川华丰科技,"SICHUAN HUAFENG TECHNOLOGY CO., LTD.",20230627
688630,-,芯碁微装,芯碁微装,"CIRCUIT FABOLOGY MICROELECTRONICS EQUIPMENT CO., LTD.",20210401
688631,-,莱斯信息,莱斯信息,"NANJING LES INFORMATION TECHNOLOGY CO., LTD",20230628
688633,-,星球石墨,星球石墨,"Nantong Xingqiu Graphite Co., Ltd.",20210324
688636,-,智明达,智明达电子,"Chengdu Zhimingda Electronics Co., Ltd.",20210408
688638,-,誉辰智能,誉辰智能,"SHENZHEN UTIMES INTELLIGENT EQUIPMENT CO., LTD.",20230712
688639,-,华恒生物,华恒生物,"Anhui Huaheng Biotechnology Co., Ltd.",20210422
688646,-,逸飞激光,逸飞激光,WUHAN YIFI LASER CORPORATION LIMITED,20230728
688651,-,盛邦安全,远江盛邦安全,"WEBRAY TECH (BEIJING) CO.,LTD.",20230726
688655,-,迅捷兴,迅捷兴科技,SHENZHEN XUNJIEXING TECHNOLOGY CORP. LTD,20210511
688656,-,浩欧博,浩欧博生物,"HOB BIOTECH GROUP CORP.,LTD.",20210113
688658,-,悦康药业,悦康药业,"Youcare Pharmaceutical Group Co.,Ltd.",20201224
688659,-,元琛科技,元琛科技,"Anhui Yuanchen Environmental Protection Science & Technology Co., Ltd.",20210331
688660,-,电气风电,电气风电,"Shanghai Electric Wind Power Group Co., Ltd.",20210519
688661,-,和林微纳,和林微纳科技,"Suzhou Uigreen Micro&Nano Technologies Co.,Ltd",20210329
688662,-,富信科技,广东富信科技,"Guangdong Fuxin Technology Co., Ltd.",20210401
688663,-,新风光,新风光科技,"Windsun Science Technology Co.,Ltd.",20210413
688665,-,四方光电,四方光电股份,"Cubic Sensor and Instrument Co.,Ltd",20210209
688667,-,菱电电控,菱电电控,"Wuhan Lincontrol Automotive Electronics Co., Ltd.",20210312
688668,-,鼎通科技,鼎通科技,"Dongguan Dingtong Precision Metal Co.,Ltd.",20201221
688669,-,聚石化学,聚石化学股份,"Polyrocks Chemical Co.,Ltd.",20210125
688670,-,金迪克,金迪克生物,"Jiangsu GDK Biological Technology Co., Ltd.",20210802
688671,-,碧兴物联,碧兴物联,"BESCIENT TECHNOLOGIES CO.,LTD.",20230809
688676,-,金盘科技,海南金盘智能科技,"Hainan Jinpan Smart Technology Co., Ltd.",20210309
688677,-,海泰新光,青岛海泰新光,"Qingdao Novelbeam Technology Co.,Ltd.",20210226
688678,-,福立旺,福立旺精密,"FREEWON CHINA CO.,LTD.",20201223
688679,-,通源环境,通源环境,"Anhui Tongyuan Environment Energy Saving Co.,Ltd.",20201225
688680,-,海优新材,海优新材,"SHANGHAI HIUV NEW MATERIALS CO.,LTD",20210122
688681,-,科汇股份,科汇电力自动化,"Shandong Kehui Power Automation Co., Ltd.",20210616
688682,-,霍莱沃,霍莱沃技术,"Shanghai Hollywave Electronic System Co., Ltd.",20210420
688683,-,莱尔科技,莱尔科技,"GuangDong Leary New Material Technology Co.,Ltd",20210412
688685,-,迈信林,迈信林航空股份,Jiangsu Maixinlin Aviation Science and Technology Corp.,20210513
688686,-,奥普特,奥普特科技,"OPT Machine Vision Tech Co., Ltd.",20201231
688687,-,凯因科技,北京凯因科技,"Beijing Kawin Technology Share-Holding Co., Ltd.",20210208
688689,-,银河微电,常州银河微电,"Changzhou Galaxy Century Microelectronics Co.,Ltd.",20210127
688690,-,纳微科技,纳微科技,"SUZHOU NANOMICRO TECHNOLOGY CO., LTD",20210623
688693,-,锴威特,锴威特,"SUZHOU CONVERT SEMICONDUCTOR CO., LTD.",20230818
688696,-,极米科技,极米科技,"CHENGDU XGIMI TECHNOLOGY CO., LTD.",20210303
688697,-,纽威数控,纽威数控装备,"Neway CNC Equipment (Suzhou) Co., Ltd.",20210917
688698,-,伟创电气,伟创电气,"Suzhou Veichi Electric Co., Ltd.",20201229
688699,-,明微电子,明微电子,"Shenzhen Sunmoon Microelectronics Co., Ltd.",20201218
688700,-,东威科技,东威科技,"Kunshan Dongwei Technology Co.,Ltd.",20210615
688701,-,卓锦股份,浙江卓锦股份,"Zhejiang Zone-King Environmental Sci&Tech Co., Ltd.",20210916
688707,-,振华新材,振华新材料,Guizhou Zhenhua E-chem Inc.,20210914
688711,-,宏微科技,江苏宏微科技,"Macmic Science&Technology Co., Ltd.",20210901
688718,-,唯赛勃,唯赛勃科技,"Wave Cyber (Shanghai)Co., Ltd.",20210728
688722,-,同益中,同益中新材料,BEIJING TONGYIZHONG NEW MATERIAL TECHNOLOGY CORPORATION,20211019
688728,-,格科微,格科微有限公司,Galaxycore Inc.,20210818
688733,-,壹石通,壹石通,"Anhui Estone Materials Technology Co., Ltd.",20210817
688737,-,中自科技,中自科技,"SINOCAT ENVIRONMENTAL TECHNOLOGY CO.,LTD.",20211022
688739,-,成大生物,成大生物,"LIAONING CHENGDA BIOTECHNOLOGY CO.,LTD.",20211028
688766,-,普冉股份,普冉半导体,"Puya Semiconductor (Shanghai) Co., Ltd.",20210823
688767,-,博拓生物,杭州博拓生物科技,"Jiangsu GDK Biological Technology Co., Ltd.",20210908
688768,-,容知日新,容知日新,Anhui Ronds Science&Technology Incorporated Company,20210726
688772,-,珠海冠宇,珠海冠宇电池,"ZHUHAI COSMX BATTERY CO., LTD.",20211015
688776,-,国光电气,国光电气,"CHENGDU GUOGUANG ELECTRONICS COMPANY,LTD",20210831
688777,-,中控技术,中控技术,"Zhejiang Supcon Technology Co., Ltd.",20201124
688778,-,厦钨新能,厦钨新能源,"XTC New Energy Materials(Xiamen) Co.,Ltd.",20210805
688779,-,长远锂科,长远锂科,"Hunan Changyuan Lico Co.,Ltd.",20210811
688786,-,悦安新材,悦安新材,"Jiangxi Yuean Advanced Materials Co.,Ltd.",20210826
688787,-,海天瑞声,海天瑞声,Beijing Haitian Ruisheng Science Technology Ltd.,20210813
688788,-,科思科技,科思科技,"Shenzhen Consys Science&Technology Co., Ltd.",20201022
688789,-,宏华数科,杭州宏华数码科技,Hangzhou Honghua Digital Technology Stock Company LTD.,20210708
688793,-,倍轻松,倍轻松科技,"Shenzhen Breo Technology Co.,Ltd",20210715
688798,-,艾为电子,艾为电子,"SHANGHAI AWINIC TECHNOLOGY CO.,LTD.",20210816
688799,-,华纳药厂,华纳大药厂,"Hunan Warrant Pharmaceutical Co., Ltd.",20210713
688800,-,瑞可达,瑞可达连接系统,"Suzhou Recodeal Interconnect System Co.,Ltd.",20210722
688819,-,天能股份,天能电池集团股份,"Tianneng Battery Group Co.,Ltd.",20210118
688981,-,中芯国际,中芯国际,Semiconductor Manufacturing International Corporation,20200716
689009,-,九号公司,九号公司,Ninebot Limited,20201029
