板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,未盈利,具有表决权差异安排,具有协议控制架构
创业板,湖北东田微科技股份有限公司,"Hubei DOTI Micro Technology Co.,Ltd.",湖北省当阳市玉泉办事处长坂路南段188号,301183,东田微,2022-05-24,"80,000,000","46,088,000",,,,0,0,华中,湖北,宜昌市,C 制造业,www.doti-optical.com,否,否,否
创业板,山东山大鸥玛软件股份有限公司,"Shandong University Ouma Software Co.,Ltd.",山东省济南市高新区伯乐路128号,301185,鸥玛软件,2021-11-19,"153,417,600","86,109,473",,,,0,0,华东,山东,济南市,I 信息技术,www.oumasoft.com,否,否,否
创业板,南通超达装备股份有限公司,"Nantong Chaoda Equipment Co., Ltd.",江苏省南通市如皋市城南街道申徐村1组,301186,超达装备,2021-12-23,"72,758,822","21,600,734",,,,0,0,华东,江苏,南通市,C 制造业,www.chaodamould.com,否,否,否
创业板,苏州欧圣电气股份有限公司,"Suzhou Alton Electrical & Mechanical Industry Co., Ltd.",江苏省汾湖高新技术开发区临沪大道北侧、来秀路东侧,301187,欧圣电气,2022-04-22,"182,607,661","47,874,222",,,,0,0,华东,江苏,苏州市,C 制造业,www.altonindustries.cn,否,否,否
创业板,山东力诺特种玻璃股份有限公司,"Shandong Linuo Technical Glass Co.,Ltd.",山东省济南市商河县玉皇庙镇政府驻地,301188,力诺特玻,2021-11-11,"232,410,000","150,761,407",,,,0,0,华东,山东,济南市,C 制造业,www.linuoglass.com,否,否,否
创业板,深圳奥尼电子股份有限公司,"Shenzhen Aoni Electronic Co., Ltd.",广东省深圳市宝安区新安街道留仙二路鸿辉工业园5#厂房2楼、3楼、6楼、7楼，8楼西半层，9楼,301189,奥尼电子,2021-12-28,"114,896,465","41,176,465",,,,0,0,华南,广东,深圳市,C 制造业,www.aoni.cc,否,否,否
创业板,九江善水科技股份有限公司,"Jiujiang Shanshui Technology Co.,Ltd.",江西省九江市彭泽县矶山工业园区,301190,善水科技,2021-12-24,"214,636,500","71,046,900",,,,0,0,华东,江西,九江市,C 制造业,www.jjsskj.com,否,否,否
创业板,深圳市菲菱科思通信技术股份有限公司,"Shenzhen Phoenix Telecom Technology Co., Ltd.",广东省深圳市宝安区福海街道展城社区福园一路润恒工业厂区3#厂房201,301191,菲菱科思,2022-05-26,"69,342,000","21,796,645",,,,0,0,华南,广东,深圳市,C 制造业,www.phoenixcompany.cn,否,否,否
创业板,十堰市泰祥实业股份有限公司,"Shiyan Taixiang Industry Co., Ltd.",湖北省十堰市十堰经济开发区吉林路258号,301192,泰祥股份,2022-08-11,"99,900,000","47,868,750",,,,0,0,华中,湖北,十堰市,C 制造业,www.taixiangshiye.com,否,否,否
创业板,宁波家联科技股份有限公司,"Ningbo Homelink Eco-iTech Co., Ltd.",浙江省宁波市镇海区澥浦镇兴浦路296号,301193,家联科技,2021-12-09,"192,000,000","91,200,000",,,,0,0,华东,浙江,宁波市,C 制造业,www.nbhomelink.cn,否,否,否
创业板,南京北路智控科技股份有限公司,"Nanjing Bestway Intelligent Control Technology Co., Ltd.",江苏省南京市江宁滨江经济开发区宝象路50号,301195,北路智控,2022-08-01,"131,521,740","38,256,435",,,,0,0,华东,江苏,南京市,I 信息技术,www.njbestway.com,否,否,否
