板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,未盈利,具有表决权差异安排,具有协议控制架构
主板,平安银行股份有限公司,"Ping An Bank Co., Ltd.",广东省深圳市罗湖区深南东路5047号,000001,平安银行,1991-04-03,"19,405,918,198","19,405,546,950",,,,0,0,华南,广东,深圳市,J 金融业,bank.pingan.com,-,-,-
主板,万科企业股份有限公司,"CHINA VANKE CO., LTD.",广东省深圳市盐田区大梅沙环梅路33号万科中心,000002,万  科Ａ,1991-01-29,"9,724,196,533","9,716,577,665",,,,0,0,华南,广东,深圳市,K 房地产,www.vanke.com,-,-,-
主板,深圳国华网安科技股份有限公司,"Shenzhen GuoHua Network Security Technology Co., Ltd.",广东省深圳市福田区梅林街道梅都社区中康路126号卓越梅林中心广场（南区）卓悦汇B2206A,000004,国华网安,1990-12-01,"132,380,282","126,288,093",,,,0,0,华南,广东,深圳市,I 信息技术,www.000004.cn,-,-,-
主板,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,000005,ST星源,1990-12-10,"1,058,536,842","1,057,875,742",,,,0,0,华南,广东,深圳市,N 公共环保,www.fountain.com.cn,-,-,-
主板,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD.",广东省深圳市罗湖区桂园街道宝安南路2014号振业大厦A座31层,000006,深振业Ａ,1992-04-27,"1,349,995,046","1,349,987,396",,,,0,0,华南,广东,深圳市,K 房地产,www.zhenye.com,-,-,-
主板,深圳市全新好股份有限公司,"SHENZHEN Quanxinhao CO., LTD.",广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,000007,*ST全新,1992-04-13,"346,448,044","308,948,044",,,,0,0,华南,广东,深圳市,K 房地产,www.sz000007.com,-,-,-
主板,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",北京市海淀区高梁桥斜街59号院1号楼16层1606,000008,神州高铁,1992-05-07,"2,716,377,683","2,675,949,260",,,,0,0,华北,北京,北京市,C 制造业,www.shenzhou-gaotie.com,-,-,-
主板,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO., LTD.",广东省深圳市笋岗东路1002号宝安广场A座28-29层,000009,中国宝安,1991-06-25,"2,579,213,965","2,551,430,324",,,,0,0,华南,广东,深圳市,S 综合,www.chinabaoan.com,-,-,-
主板,深圳美丽生态股份有限公司,"SHENZHEN ECOBEAUTY CO., LTD.",广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座17层1701-1703室,000010,美丽生态,1995-10-27,"1,058,692,292","522,171,498",,,,0,0,华南,广东,深圳市,E 建筑业,www.eco-beauty.cn,-,-,-
主板,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development (Group) Ltd.,广东省深圳市罗湖区人民南路国贸大厦39层、42层,000011,深物业A,1992-03-30,"528,373,849","526,475,543",200011,深物业B,1992-03-30,"67,605,243","67,605,243",华南,广东,深圳市,K 房地产,www.szwuye.com.cn,-,-,-
主板,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,000012,南  玻Ａ,1992-02-28,"1,961,323,047","1,956,966,398",200012,南  玻Ｂ,1992-02-28,"1,109,369,060","1,109,369,060",华南,广东,深圳市,C 制造业,www.csgholding.com,-,-,-
主板,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",广东省深圳市南山区白石路2222号沙河世纪楼,000014,沙河股份,1992-06-02,"242,046,224","242,046,224",,,,0,0,华南,广东,深圳市,K 房地产,www.shahe.cn,-,-,-
主板,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,000016,深康佳Ａ,1992-03-27,"1,596,593,800","1,596,579,175",200016,深康佳Ｂ,1992-03-27,"811,351,608","811,351,608",华南,广东,深圳市,C 制造业,www.konka.com,-,-,-
主板,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) LIMITED,广东省深圳市布心路3008号,000017,深中华A,1992-03-31,"440,821,951","302,984,965",200017,深中华B,1992-03-31,"248,362,982","248,362,982",华南,广东,深圳市,C 制造业,www.szcbc.com,-,-,-
主板,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,000019,深粮控股,1992-10-12,"1,100,785,974","416,216,407",200019,深粮B,1992-10-12,"51,749,280","51,749,280",华南,广东,深圳市,F 批发零售,www.slkg1949.com,-,-,-
主板,深圳中恒华发股份有限公司,"SHENZHEN ZHONGHENG HUAFA CO., LTD.",广东省深圳市福田区华发北路411栋,000020,深华发Ａ,1992-04-28,"181,165,391","181,165,391",200020,深华发Ｂ,1992-04-28,"101,995,836","101,995,836",华南,广东,深圳市,C 制造业,www.hwafa.com.cn,-,-,-
主板,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD",广东省深圳市福田区彩田路7006号,000021,深科技,1994-02-02,"1,560,587,588","1,560,198,713",,,,0,0,华南,广东,深圳市,C 制造业,www.kaifa.cn,-,-,-
主板,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP)CO.,LTD",广东省深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,000023,ST深天,1993-04-29,"138,756,240","138,756,240",,,,0,0,华南,广东,深圳市,C 制造业,www.sztiandi.com,-,-,-
主板,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd",广东省深圳市罗湖区水贝二路五十六号特力大厦三楼,000025,特  力Ａ,1993-06-21,"392,778,320","392,778,320",200025,特  力Ｂ,1993-06-21,"38,280,000","38,280,000",华南,广东,深圳市,F 批发零售,www.tellus.cn,-,-,-
主板,飞亚达精密科技股份有限公司,"FIYTA Precision Technology Co., Ltd.",广东省深圳市南山区高新南一道飞亚达科技大厦,000026,飞亚达,1993-06-03,"365,330,033","362,553,413",200026,飞亚达Ｂ,1993-06-03,"49,936,697","49,936,697",华南,广东,深圳市,F 批发零售,www.fiytagroup.com,-,-,-
主板,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",广东省深圳市福田区福田街道金田路2026号能源大厦北塔楼9层、29-31层、34-41层,000027,深圳能源,1993-09-03,"4,757,389,916","4,757,389,916",,,,0,0,华南,广东,深圳市,D 水电煤气,www.sec.com.cn,-,-,-
